CountryName,private_personal_info,serious_crime,public_figure,political,cp
Italy,0.8498,0.1185,0.0104,0.016,0.0053
Romania,0.8746,0.0282,0.0211,0.0717,0.0043
Hungary,0.8756,0.0059,0.081,0.024,0.0136
Greece,0.9215,0.0071,0.0571,0.0103,0.004
Bulgaria,0.9354,0.0176,0.02,0.0223,0.0047
Norway,0.9365,0.0307,0.0186,0.0121,0.0022
Slovenia,0.9427,0.0095,0.0167,0.0143,0.0167
Ireland,0.9443,0.0331,0.0069,0.0049,0.0109
United Kingdom,0.9469,0.0272,0.0084,0.0044,0.0132
Switzerland,0.9531,0.0082,0.0259,0.0064,0.0064
Croatia,0.9535,0.0151,0.0159,0.013,0.0025
Spain,0.9548,0.0089,0.006,0.0286,0.0017
Estonia,0.9557,0.0209,0.0032,0.019,0.0013
Malta,0.9565,0.0124,0.0186,0.0062,0.0062
Finland,0.9571,0.0143,0.0099,0.0075,0.0112
Iceland,0.958,0.028,0,0.007,0.007
Sweden,0.9586,0.0125,0.0109,0.0097,0.0083
Luxembourg,0.965,0.0064,0.0191,0.0064,0.0032
Latvia,0.9664,0.019,0.0045,0.0089,0.0011
Belgium,0.9667,0.0142,0.0073,0.0072,0.0047
Denmark,0.9702,0.0142,0.0027,0.0071,0.0058
Slovakia,0.9706,0.0054,0.0131,0.0098,0.0011
Liechtenstein,0.9722,0.0278,0,0,0
Poland,0.9738,0.0071,0.0133,0.0025,0.0034
Czech Republic,0.974,0.004,0.0123,0.0075,0.0022
Lithuania,0.9741,0.0111,0.0065,0.0065,0.0019
Germany,0.9766,0.004,0.0094,0.0074,0.0025
Portugal,0.9768,0.0097,0.0043,0.0032,0.0059
Austria,0.9781,0.0025,0.0091,0.0094,0.001
Netherlands,0.9805,0.0044,0.0071,0.0058,0.0022
France,0.9829,0.0057,0.0042,0.005,0.0023
Cyprus,0.9877,0,0,0.0123,0
