CountryName,granted,need more info,pending,rejected,undefined
Bulgaria,0.2773,0.1581,0.0364,0.5282,0
Liechtenstein,0.2857,0.1143,0.0286,0.5714,0
Malta,0.2922,0.1818,0.026,0.5,0
Iceland,0.2993,0.146,0.0365,0.5182,0
Romania,0.3059,0.1512,0.0142,0.5176,0.011
Ireland,0.326,0.1494,0.0287,0.4922,0.0037
Portugal,0.3534,0.1819,0.0088,0.4548,0.0011
Italy,0.3597,0.1678,0.0176,0.4509,0.0039
United Kingdom,0.3739,0.1625,0.0205,0.4414,0.0018
Slovenia,0.381,0.1494,0.0165,0.4519,0.0013
Latvia,0.3843,0.1539,0.0243,0.4352,0.0023
Croatia,0.3874,0.1473,0.0141,0.4512,0
Greece,0.4088,0.2022,0.0129,0.3718,0.0043
Hungary,0.4215,0.1224,0.0181,0.4349,0.0031
Czech Republic,0.44,0.1349,0.0063,0.4169,0.0018
Sweden,0.4443,0.1598,0.0178,0.3761,0.0019
Norway,0.4449,0.1872,0.0194,0.3481,5e-04
Lithuania,0.4492,0.1633,0.0218,0.3656,0
Slovakia,0.4496,0.1424,0.0022,0.4036,0.0022
Spain,0.4526,0.132,0.0157,0.3978,0.0018
Cyprus,0.4625,0.1875,0.0062,0.3375,0.0062
Estonia,0.4679,0.1352,0.0179,0.3777,0.0013
Denmark,0.4766,0.1557,0.0188,0.3475,0.0014
Poland,0.4835,0.1505,0.0111,0.3536,0.0014
Netherlands,0.4908,0.1196,0.0097,0.3788,0.0012
Finland,0.4946,0.135,0.0243,0.3437,0.0023
Luxembourg,0.4983,0.1386,0.0165,0.3432,0.0033
Switzerland,0.5122,0.1406,0.0133,0.3318,0.0021
Austria,0.5228,0.1418,0.0126,0.3195,0.0033
Belgium,0.5268,0.1372,0.0088,0.3262,0.0011
Germany,0.5422,0.1163,0.0136,0.3248,0.0031
France,0.5545,0.1328,0.0118,0.2982,0.0027
